Question_ID,Topic,Question,Answer,Options,Difficulty,Type
20,Introduction to Magnets (Theories),Match the term 'Magnets' with its correct definition or category.,Magnets corresponds to Science branch,Magnets -> Science branch|Other terms -> Other categories,Easy,Match the Following
21,Introduction to Heat (Exploration),What is the primary purpose of Introduction to Heat (Exploration)?,To study and explain the properties and functions of Heat in Science.,To study and explain the properties and functions of Heat in Science.|To ignore the effects in the environment.|To increase industrial output only.|To create unrelated visual diagrams.,Easy,MCQ
22,Introduction to Heat (Exploration),Which of the following is a direct application of Introduction to Heat (Exploration)?,Using its core principles to solve practical real-world problems.,Using its core principles to solve practical real-world problems.|Avoiding it altogether in daily life.|Using it only in theoretical physics.|None of the options.,Easy,MCQ
23,Introduction to Heat (Exploration),True or False: The study of Introduction to Heat (Exploration) is essential for a complete understanding of Science concepts.,True,True|False,Easy,True/False
24,Introduction to Heat (Exploration),Complete the sentence: ________ is a core foundation of the lesson Introduction to Heat (Exploration).,Heat,,Easy,Fill in the Blanks
25,Introduction to Heat (Exploration),Match the term 'Heat' with its correct definition or category.,Heat corresponds to Science branch,Heat -> Science branch|Other terms -> Other categories,Easy,Match the Following
26,Introduction to Force (Processes),What is the primary purpose of Introduction to Force (Processes)?,To study and explain the properties and functions of Force in Science.,To study and explain the properties and functions of Force in Science.|To ignore the effects in the environment.|To increase industrial output only.|To create unrelated visual diagrams.,Easy,MCQ
27,Introduction to Force (Processes),Which of the following is a direct application of Introduction to Force (Processes)?,Using its core principles to solve practical real-world problems.,Using its core principles to solve practical real-world problems.|Avoiding it altogether in daily life.|Using it only in theoretical physics.|None of the options.,Easy,MCQ
28,Introduction to Force (Processes),True or False: Introduction to Force (Processes) has no relevance outside of Grade 1 curriculum.,False,True|False,Easy,True/False
29,Introduction to Force (Processes),Complete the sentence: ________ is a core foundation of the lesson Introduction to Force (Processes).,Force,,Easy,Fill in the Blanks
30,Introduction to Force (Processes),Match the term 'Force' with its correct definition or category.,Force corresponds to Science branch,Force -> Science branch|Other terms -> Other categories,Easy,Match the Following
31,Introduction to Motion (Systems),What is the primary purpose of Introduction to Motion (Systems)?,To study and explain the properties and functions of Motion in Science.,To study and explain the properties and functions of Motion in Science.|To ignore the effects in the environment.|To increase industrial output only.|To create unrelated visual diagrams.,Easy,MCQ
32,Introduction to Motion (Systems),Which of the following is a direct application of Introduction to Motion (Systems)?,Using its core principles to solve practical real-world problems.,Using its core principles to solve practical real-world problems.|Avoiding it altogether in daily life.|Using it only in theoretical physics.|None of the options.,Easy,MCQ
33,Introduction to Motion (Systems),True or False: The study of Introduction to Motion (Systems) is essential for a complete understanding of Science concepts.,True,True|False,Easy,True/False
34,Introduction to Motion (Systems),Complete the sentence: ________ is a core foundation of the lesson Introduction to Motion (Systems).,Motion,,Easy,Fill in the Blanks
35,Introduction to Motion (Systems),Match the term 'Motion' with its correct definition or category.,Motion corresponds to Science branch,Motion -> Science branch|Other terms -> Other categories,Easy,Match the Following
36,Introduction to Simple Machines (Impact),What is the primary purpose of Introduction to Simple Machines (Impact)?,To study and explain the properties and functions of Machines in Science.,To study and explain the properties and functions of Machines in Science.|To ignore the effects in the environment.|To increase industrial output only.|To create unrelated visual diagrams.,Easy,MCQ
37,Introduction to Simple Machines (Impact),Which of the following is a direct application of Introduction to Simple Machines (Impact)?,Using its core principles to solve practical real-world problems.,Using its core principles to solve practical real-world problems.|Avoiding it altogether in daily life.|Using it only in theoretical physics.|None of the options.,Easy,MCQ
38,Introduction to Simple Machines (Impact),True or False: Introduction to Simple Machines (Impact) has no relevance outside of Grade 1 curriculum.,False,True|False,Easy,True/False
39,Introduction to Simple Machines (Impact),Complete the sentence: ________ is a core foundation of the lesson Introduction to Simple Machines (Impact).,Machines,,Easy,Fill in the Blanks
40,Introduction to Simple Machines (Impact),Match the term 'Machines' with its correct definition or category.,Machines corresponds to Science branch,Machines -> Science branch|Other terms -> Other categories,Easy,Match the Following
41,Introduction to Adaptations (Dynamics),What is the primary purpose of Introduction to Adaptations (Dynamics)?,To study and explain the properties and functions of Adaptations in Science.,To study and explain the properties and functions of Adaptations in Science.|To ignore the effects in the environment.|To increase industrial output only.|To create unrelated visual diagrams.,Easy,MCQ
42,Introduction to Adaptations (Dynamics),Which of the following is a direct application of Introduction to Adaptations (Dynamics)?,Using its core principles to solve practical real-world problems.,Using its core principles to solve practical real-world problems.|Avoiding it altogether in daily life.|Using it only in theoretical physics.|None of the options.,Easy,MCQ
43,Introduction to Adaptations (Dynamics),True or False: The study of Introduction to Adaptations (Dynamics) is essential for a complete understanding of Science concepts.,True,True|False,Easy,True/False
44,Introduction to Adaptations (Dynamics),Complete the sentence: ________ is a core foundation of the lesson Introduction to Adaptations (Dynamics).,Adaptations,,Easy,Fill in the Blanks
45,Introduction to Adaptations (Dynamics),Match the term 'Adaptations' with its correct definition or category.,Adaptations corresponds to Science branch,Adaptations -> Science branch|Other terms -> Other categories,Easy,Match the Following
46,Introduction to States of Matter (Functions),What is the primary purpose of Introduction to States of Matter (Functions)?,To study and explain the properties and functions of Matter in Science.,To study and explain the properties and functions of Matter in Science.|To ignore the effects in the environment.|To increase industrial output only.|To create unrelated visual diagrams.,Easy,MCQ
47,Introduction to States of Matter (Functions),Which of the following is a direct application of Introduction to States of Matter (Functions)?,Using its core principles to solve practical real-world problems.,Using its core principles to solve practical real-world problems.|Avoiding it altogether in daily life.|Using it only in theoretical physics.|None of the options.,Easy,MCQ
48,Introduction to States of Matter (Functions),True or False: Introduction to States of Matter (Functions) has no relevance outside of Grade 1 curriculum.,False,True|False,Easy,True/False
49,Introduction to States of Matter (Functions),Complete the sentence: ________ is a core foundation of the lesson Introduction to States of Matter (Functions).,Matter,,Easy,Fill in the Blanks
50,Introduction to States of Matter (Functions),Match the term 'Matter' with its correct definition or category.,Matter corresponds to Science branch,Matter -> Science branch|Other terms -> Other categories,Easy,Match the Following
51,Introduction to Water Cycle (Structure),What is the primary purpose of Introduction to Water Cycle (Structure)?,To study and explain the properties and functions of Cycle in Science.,To study and explain the properties and functions of Cycle in Science.|To ignore the effects in the environment.|To increase industrial output only.|To create unrelated visual diagrams.,Easy,MCQ
52,Introduction to Water Cycle (Structure),Which of the following is a direct application of Introduction to Water Cycle (Structure)?,Using its core principles to solve practical real-world problems.,Using its core principles to solve practical real-world problems.|Avoiding it altogether in daily life.|Using it only in theoretical physics.|None of the options.,Easy,MCQ
53,Introduction to Water Cycle (Structure),True or False: Introduction to Water Cycle (Structure) has no relevance outside of Grade 1 curriculum.,False,True|False,Easy,True/False
54,Introduction to Water Cycle (Structure),Complete the sentence: ________ is a core foundation of the lesson Introduction to Water Cycle (Structure).,Cycle,,Easy,Fill in the Blanks
55,Introduction to Water Cycle (Structure),Match the term 'Cycle' with its correct definition or category.,Cycle corresponds to Science branch,Cycle -> Science branch|Other terms -> Other categories,Easy,Match the Following
56,Introduction to Solar System (Key Ideas),What is the primary purpose of Introduction to Solar System (Key Ideas)?,To study and explain the properties and functions of (Key in Science.,To study and explain the properties and functions of (Key in Science.|To ignore the effects in the environment.|To increase industrial output only.|To create unrelated visual diagrams.,Easy,MCQ
57,Introduction to Solar System (Key Ideas),Which of the following is a direct application of Introduction to Solar System (Key Ideas)?,Using its core principles to solve practical real-world problems.,Using its core principles to solve practical real-world problems.|Avoiding it altogether in daily life.|Using it only in theoretical physics.|None of the options.,Easy,MCQ
58,Introduction to Solar System (Key Ideas),True or False: Introduction to Solar System (Key Ideas) has no relevance outside of Grade 1 curriculum.,False,True|False,Easy,True/False
59,Introduction to Solar System (Key Ideas),Complete the sentence: ________ is a core foundation of the lesson Introduction to Solar System (Key Ideas).,(Key,,Easy,Fill in the Blanks
60,Introduction to Solar System (Key Ideas),Match the term '(Key' with its correct definition or category.,(Key corresponds to Science branch,(Key -> Science branch|Other terms -> Other categories,Easy,Match the Following
61,Introduction to Light (Basics),What is the primary purpose of Introduction to Light (Basics)?,To study and explain the properties and functions of Light in Science.,To study and explain the properties and functions of Light in Science.|To ignore the effects in the environment.|To increase industrial output only.|To create unrelated visual diagrams.,Easy,MCQ
62,Introduction to Light (Basics),Which of the following is a direct application of Introduction to Light (Basics)?,Using its core principles to solve practical real-world problems.,Using its core principles to solve practical real-world problems.|Avoiding it altogether in daily life.|Using it only in theoretical physics.|None of the options.,Easy,MCQ
63,Introduction to Light (Basics),True or False: Introduction to Light (Basics) has no relevance outside of Grade 2 curriculum.,False,True|False,Easy,True/False
64,Introduction to Light (Basics),Complete the sentence: ________ is a core foundation of the lesson Introduction to Light (Basics).,Light,,Easy,Fill in the Blanks
65,Introduction to Light (Basics),Match the term 'Light' with its correct definition or category.,Light corresponds to Science branch,Light -> Science branch|Other terms -> Other categories,Easy,Match the Following
66,Introduction to Sound (Principles),What is the primary purpose of Introduction to Sound (Principles)?,To study and explain the properties and functions of Sound in Science.,To study and explain the properties and functions of Sound in Science.|To ignore the effects in the environment.|To increase industrial output only.|To create unrelated visual diagrams.,Easy,MCQ
67,Introduction to Sound (Principles),Which of the following is a direct application of Introduction to Sound (Principles)?,Using its core principles to solve practical real-world problems.,Using its core principles to solve practical real-world problems.|Avoiding it altogether in daily life.|Using it only in theoretical physics.|None of the options.,Easy,MCQ
68,Introduction to Sound (Principles),True or False: The study of Introduction to Sound (Principles) is essential for a complete understanding of Science concepts.,True,True|False,Easy,True/False
69,Introduction to Sound (Principles),Complete the sentence: ________ is a core foundation of the lesson Introduction to Sound (Principles).,Sound,,Easy,Fill in the Blanks
70,Introduction to Sound (Principles),Match the term 'Sound' with its correct definition or category.,Sound corresponds to Science branch,Sound -> Science branch|Other terms -> Other categories,Easy,Match the Following
71,Introduction to Electricity (Applications),What is the primary purpose of Introduction to Electricity (Applications)?,To study and explain the properties and functions of Electricity in Science.,To study and explain the properties and functions of Electricity in Science.|To ignore the effects in the environment.|To increase industrial output only.|To create unrelated visual diagrams.,Easy,MCQ
72,Introduction to Electricity (Applications),Which of the following is a direct application of Introduction to Electricity (Applications)?,Using its core principles to solve practical real-world problems.,Using its core principles to solve practical real-world problems.|Avoiding it altogether in daily life.|Using it only in theoretical physics.|None of the options.,Easy,MCQ
73,Introduction to Electricity (Applications),True or False: Introduction to Electricity (Applications) has no relevance outside of Grade 2 curriculum.,False,True|False,Easy,True/False
74,Introduction to Electricity (Applications),Complete the sentence: ________ is a core foundation of the lesson Introduction to Electricity (Applications).,Electricity,,Easy,Fill in the Blanks
75,Introduction to Electricity (Applications),Match the term 'Electricity' with its correct definition or category.,Electricity corresponds to Science branch,Electricity -> Science branch|Other terms -> Other categories,Easy,Match the Following
76,Introduction to Magnets (Theories),What is the primary purpose of Introduction to Magnets (Theories)?,To study and explain the properties and functions of Magnets in Science.,To study and explain the properties and functions of Magnets in Science.|To ignore the effects in the environment.|To increase industrial output only.|To create unrelated visual diagrams.,Easy,MCQ
77,Introduction to Magnets (Theories),Which of the following is a direct application of Introduction to Magnets (Theories)?,Using its core principles to solve practical real-world problems.,Using its core principles to solve practical real-world problems.|Avoiding it altogether in daily life.|Using it only in theoretical physics.|None of the options.,Easy,MCQ
78,Introduction to Magnets (Theories),True or False: The study of Introduction to Magnets (Theories) is essential for a complete understanding of Science concepts.,True,True|False,Easy,True/False
79,Introduction to Magnets (Theories),Complete the sentence: ________ is a core foundation of the lesson Introduction to Magnets (Theories).,Magnets,,Easy,Fill in the Blanks
80,Introduction to Magnets (Theories),Match the term 'Magnets' with its correct definition or category.,Magnets corresponds to Science branch,Magnets -> Science branch|Other terms -> Other categories,Easy,Match the Following
81,Introduction to Heat (Exploration),What is the primary purpose of Introduction to Heat (Exploration)?,To study and explain the properties and functions of Heat in Science.,To study and explain the properties and functions of Heat in Science.|To ignore the effects in the environment.|To increase industrial output only.|To create unrelated visual diagrams.,Easy,MCQ
82,Introduction to Heat (Exploration),Which of the following is a direct application of Introduction to Heat (Exploration)?,Using its core principles to solve practical real-world problems.,Using its core principles to solve practical real-world problems.|Avoiding it altogether in daily life.|Using it only in theoretical physics.|None of the options.,Easy,MCQ
83,Introduction to Heat (Exploration),True or False: Introduction to Heat (Exploration) has no relevance outside of Grade 2 curriculum.,False,True|False,Easy,True/False
84,Introduction to Heat (Exploration),Complete the sentence: ________ is a core foundation of the lesson Introduction to Heat (Exploration).,Heat,,Easy,Fill in the Blanks
85,Introduction to Heat (Exploration),Match the term 'Heat' with its correct definition or category.,Heat corresponds to Science branch,Heat -> Science branch|Other terms -> Other categories,Easy,Match the Following
86,Introduction to Force (Processes),What is the primary purpose of Introduction to Force (Processes)?,To study and explain the properties and functions of Force in Science.,To study and explain the properties and functions of Force in Science.|To ignore the effects in the environment.|To increase industrial output only.|To create unrelated visual diagrams.,Easy,MCQ
87,Introduction to Force (Processes),Which of the following is a direct application of Introduction to Force (Processes)?,Using its core principles to solve practical real-world problems.,Using its core principles to solve practical real-world problems.|Avoiding it altogether in daily life.|Using it only in theoretical physics.|None of the options.,Easy,MCQ
88,Introduction to Force (Processes),True or False: The study of Introduction to Force (Processes) is essential for a complete understanding of Science concepts.,True,True|False,Easy,True/False
89,Introduction to Force (Processes),Complete the sentence: ________ is a core foundation of the lesson Introduction to Force (Processes).,Force,,Easy,Fill in the Blanks
90,Introduction to Force (Processes),Match the term 'Force' with its correct definition or category.,Force corresponds to Science branch,Force -> Science branch|Other terms -> Other categories,Easy,Match the Following
91,Introduction to Motion (Systems),What is the primary purpose of Introduction to Motion (Systems)?,To study and explain the properties and functions of Motion in Science.,To study and explain the properties and functions of Motion in Science.|To ignore the effects in the environment.|To increase industrial output only.|To create unrelated visual diagrams.,Easy,MCQ
92,Introduction to Motion (Systems),Which of the following is a direct application of Introduction to Motion (Systems)?,Using its core principles to solve practical real-world problems.,Using its core principles to solve practical real-world problems.|Avoiding it altogether in daily life.|Using it only in theoretical physics.|None of the options.,Easy,MCQ
93,Introduction to Motion (Systems),True or False: Introduction to Motion (Systems) has no relevance outside of Grade 2 curriculum.,False,True|False,Easy,True/False
94,Introduction to Motion (Systems),Complete the sentence: ________ is a core foundation of the lesson Introduction to Motion (Systems).,Motion,,Easy,Fill in the Blanks
95,Introduction to Motion (Systems),Match the term 'Motion' with its correct definition or category.,Motion corresponds to Science branch,Motion -> Science branch|Other terms -> Other categories,Easy,Match the Following
96,Introduction to Simple Machines (Impact),What is the primary purpose of Introduction to Simple Machines (Impact)?,To study and explain the properties and functions of Machines in Science.,To study and explain the properties and functions of Machines in Science.|To ignore the effects in the environment.|To increase industrial output only.|To create unrelated visual diagrams.,Easy,MCQ
97,Introduction to Simple Machines (Impact),Which of the following is a direct application of Introduction to Simple Machines (Impact)?,Using its core principles to solve practical real-world problems.,Using its core principles to solve practical real-world problems.|Avoiding it altogether in daily life.|Using it only in theoretical physics.|None of the options.,Easy,MCQ
98,Introduction to Simple Machines (Impact),True or False: Introduction to Simple Machines (Impact) has no relevance outside of Grade 2 curriculum.,False,True|False,Easy,True/False
99,Introduction to Simple Machines (Impact),Complete the sentence: ________ is a core foundation of the lesson Introduction to Simple Machines (Impact).,Machines,,Easy,Fill in the Blanks
100,Introduction to Simple Machines (Impact),Match the term 'Machines' with its correct definition or category.,Machines corresponds to Science branch,Machines -> Science branch|Other terms -> Other categories,Easy,Match the Following
101,Introduction to Adaptations (Dynamics),What is the primary purpose of Introduction to Adaptations (Dynamics)?,To study and explain the properties and functions of Adaptations in Science.,To study and explain the properties and functions of Adaptations in Science.|To ignore the effects in the environment.|To increase industrial output only.|To create unrelated visual diagrams.,Easy,MCQ
102,Introduction to Adaptations (Dynamics),Which of the following is a direct application of Introduction to Adaptations (Dynamics)?,Using its core principles to solve practical real-world problems.,Using its core principles to solve practical real-world problems.|Avoiding it altogether in daily life.|Using it only in theoretical physics.|None of the options.,Easy,MCQ
103,Introduction to Adaptations (Dynamics),True or False: Introduction to Adaptations (Dynamics) has no relevance outside of Grade 2 curriculum.,False,True|False,Easy,True/False
104,Introduction to Adaptations (Dynamics),Complete the sentence: ________ is a core foundation of the lesson Introduction to Adaptations (Dynamics).,Adaptations,,Easy,Fill in the Blanks
105,Introduction to Adaptations (Dynamics),Match the term 'Adaptations' with its correct definition or category.,Adaptations corresponds to Science branch,Adaptations -> Science branch|Other terms -> Other categories,Easy,Match the Following
106,Introduction to States of Matter (Functions),What is the primary purpose of Introduction to States of Matter (Functions)?,To study and explain the properties and functions of Matter in Science.,To study and explain the properties and functions of Matter in Science.|To ignore the effects in the environment.|To increase industrial output only.|To create unrelated visual diagrams.,Easy,MCQ
107,Introduction to States of Matter (Functions),Which of the following is a direct application of Introduction to States of Matter (Functions)?,Using its core principles to solve practical real-world problems.,Using its core principles to solve practical real-world problems.|Avoiding it altogether in daily life.|Using it only in theoretical physics.|None of the options.,Easy,MCQ
108,Introduction to States of Matter (Functions),True or False: Introduction to States of Matter (Functions) has no relevance outside of Grade 2 curriculum.,False,True|False,Easy,True/False
109,Introduction to States of Matter (Functions),Complete the sentence: ________ is a core foundation of the lesson Introduction to States of Matter (Functions).,Matter,,Easy,Fill in the Blanks
110,Introduction to States of Matter (Functions),Match the term 'Matter' with its correct definition or category.,Matter corresponds to Science branch,Matter -> Science branch|Other terms -> Other categories,Easy,Match the Following
111,Introduction to Water Cycle (Structure),What is the primary purpose of Introduction to Water Cycle (Structure)?,To study and explain the properties and functions of Cycle in Science.,To study and explain the properties and functions of Cycle in Science.|To ignore the effects in the environment.|To increase industrial output only.|To create unrelated visual diagrams.,Easy,MCQ
112,Introduction to Water Cycle (Structure),Which of the following is a direct application of Introduction to Water Cycle (Structure)?,Using its core principles to solve practical real-world problems.,Using its core principles to solve practical real-world problems.|Avoiding it altogether in daily life.|Using it only in theoretical physics.|None of the options.,Easy,MCQ
113,Introduction to Water Cycle (Structure),True or False: Introduction to Water Cycle (Structure) has no relevance outside of Grade 2 curriculum.,False,True|False,Easy,True/False
114,Introduction to Water Cycle (Structure),Complete the sentence: ________ is a core foundation of the lesson Introduction to Water Cycle (Structure).,Cycle,,Easy,Fill in the Blanks
115,Introduction to Water Cycle (Structure),Match the term 'Cycle' with its correct definition or category.,Cycle corresponds to Science branch,Cycle -> Science branch|Other terms -> Other categories,Easy,Match the Following
116,Introduction to Solar System (Key Ideas),What is the primary purpose of Introduction to Solar System (Key Ideas)?,To study and explain the properties and functions of (Key in Science.,To study and explain the properties and functions of (Key in Science.|To ignore the effects in the environment.|To increase industrial output only.|To create unrelated visual diagrams.,Easy,MCQ
117,Introduction to Solar System (Key Ideas),Which of the following is a direct application of Introduction to Solar System (Key Ideas)?,Using its core principles to solve practical real-world problems.,Using its core principles to solve practical real-world problems.|Avoiding it altogether in daily life.|Using it only in theoretical physics.|None of the options.,Easy,MCQ
118,Introduction to Solar System (Key Ideas),True or False: The study of Introduction to Solar System (Key Ideas) is essential for a complete understanding of Science concepts.,True,True|False,Easy,True/False
119,Introduction to Solar System (Key Ideas),Complete the sentence: ________ is a core foundation of the lesson Introduction to Solar System (Key Ideas).,(Key,,Easy,Fill in the Blanks
120,Introduction to Solar System (Key Ideas),Match the term '(Key' with its correct definition or category.,(Key corresponds to Science branch,(Key -> Science branch|Other terms -> Other categories,Easy,Match the Following
121,Introduction to Light (Basics),What is the primary purpose of Introduction to Light (Basics)?,To study and explain the properties and functions of Light in Science.,To study and explain the properties and functions of Light in Science.|To ignore the effects in the environment.|To increase industrial output only.|To create unrelated visual diagrams.,Easy,MCQ
122,Introduction to Light (Basics),Which of the following is a direct application of Introduction to Light (Basics)?,Using its core principles to solve practical real-world problems.,Using its core principles to solve practical real-world problems.|Avoiding it altogether in daily life.|Using it only in theoretical physics.|None of the options.,Easy,MCQ
123,Introduction to Light (Basics),True or False: The study of Introduction to Light (Basics) is essential for a complete understanding of Science concepts.,True,True|False,Easy,True/False
124,Introduction to Light (Basics),Complete the sentence: ________ is a core foundation of the lesson Introduction to Light (Basics).,Light,,Easy,Fill in the Blanks
125,Introduction to Light (Basics),Match the term 'Light' with its correct definition or category.,Light corresponds to Science branch,Light -> Science branch|Other terms -> Other categories,Easy,Match the Following
126,Introduction to Sound (Principles),What is the primary purpose of Introduction to Sound (Principles)?,To study and explain the properties and functions of Sound in Science.,To study and explain the properties and functions of Sound in Science.|To ignore the effects in the environment.|To increase industrial output only.|To create unrelated visual diagrams.,Easy,MCQ
127,Introduction to Sound (Principles),Which of the following is a direct application of Introduction to Sound (Principles)?,Using its core principles to solve practical real-world problems.,Using its core principles to solve practical real-world problems.|Avoiding it altogether in daily life.|Using it only in theoretical physics.|None of the options.,Easy,MCQ
128,Introduction to Sound (Principles),True or False: Introduction to Sound (Principles) has no relevance outside of Grade 3 curriculum.,False,True|False,Easy,True/False
129,Introduction to Sound (Principles),Complete the sentence: ________ is a core foundation of the lesson Introduction to Sound (Principles).,Sound,,Easy,Fill in the Blanks
130,Introduction to Sound (Principles),Match the term 'Sound' with its correct definition or category.,Sound corresponds to Science branch,Sound -> Science branch|Other terms -> Other categories,Easy,Match the Following
131,Introduction to Electricity (Applications),What is the primary purpose of Introduction to Electricity (Applications)?,To study and explain the properties and functions of Electricity in Science.,To study and explain the properties and functions of Electricity in Science.|To ignore the effects in the environment.|To increase industrial output only.|To create unrelated visual diagrams.,Easy,MCQ
132,Introduction to Electricity (Applications),Which of the following is a direct application of Introduction to Electricity (Applications)?,Using its core principles to solve practical real-world problems.,Using its core principles to solve practical real-world problems.|Avoiding it altogether in daily life.|Using it only in theoretical physics.|None of the options.,Easy,MCQ
133,Introduction to Electricity (Applications),True or False: The study of Introduction to Electricity (Applications) is essential for a complete understanding of Science concepts.,True,True|False,Easy,True/False
134,Introduction to Electricity (Applications),Complete the sentence: ________ is a core foundation of the lesson Introduction to Electricity (Applications).,Electricity,,Easy,Fill in the Blanks
135,Introduction to Electricity (Applications),Match the term 'Electricity' with its correct definition or category.,Electricity corresponds to Science branch,Electricity -> Science branch|Other terms -> Other categories,Easy,Match the Following
136,Introduction to Magnets (Theories),What is the primary purpose of Introduction to Magnets (Theories)?,To study and explain the properties and functions of Magnets in Science.,To study and explain the properties and functions of Magnets in Science.|To ignore the effects in the environment.|To increase industrial output only.|To create unrelated visual diagrams.,Easy,MCQ
137,Introduction to Magnets (Theories),Which of the following is a direct application of Introduction to Magnets (Theories)?,Using its core principles to solve practical real-world problems.,Using its core principles to solve practical real-world problems.|Avoiding it altogether in daily life.|Using it only in theoretical physics.|None of the options.,Easy,MCQ
138,Introduction to Magnets (Theories),True or False: The study of Introduction to Magnets (Theories) is essential for a complete understanding of Science concepts.,True,True|False,Easy,True/False
139,Introduction to Magnets (Theories),Complete the sentence: ________ is a core foundation of the lesson Introduction to Magnets (Theories).,Magnets,,Easy,Fill in the Blanks
140,Introduction to Magnets (Theories),Match the term 'Magnets' with its correct definition or category.,Magnets corresponds to Science branch,Magnets -> Science branch|Other terms -> Other categories,Easy,Match the Following
141,Introduction to Heat (Exploration),What is the primary purpose of Introduction to Heat (Exploration)?,To study and explain the properties and functions of Heat in Science.,To study and explain the properties and functions of Heat in Science.|To ignore the effects in the environment.|To increase industrial output only.|To create unrelated visual diagrams.,Easy,MCQ
142,Introduction to Heat (Exploration),Which of the following is a direct application of Introduction to Heat (Exploration)?,Using its core principles to solve practical real-world problems.,Using its core principles to solve practical real-world problems.|Avoiding it altogether in daily life.|Using it only in theoretical physics.|None of the options.,Easy,MCQ
143,Introduction to Heat (Exploration),True or False: The study of Introduction to Heat (Exploration) is essential for a complete understanding of Science concepts.,True,True|False,Easy,True/False
144,Introduction to Heat (Exploration),Complete the sentence: ________ is a core foundation of the lesson Introduction to Heat (Exploration).,Heat,,Easy,Fill in the Blanks
145,Introduction to Heat (Exploration),Match the term 'Heat' with its correct definition or category.,Heat corresponds to Science branch,Heat -> Science branch|Other terms -> Other categories,Easy,Match the Following
146,Introduction to Force (Processes),What is the primary purpose of Introduction to Force (Processes)?,To study and explain the properties and functions of Force in Science.,To study and explain the properties and functions of Force in Science.|To ignore the effects in the environment.|To increase industrial output only.|To create unrelated visual diagrams.,Easy,MCQ
