Student_ID,Topic,Quiz_Score,Completion_Time,Mastery_Level
STU0107,Understanding Freedom Struggle (Key Ideas),72,301,Proficient
STU0418,Understanding Local Government (Exploration),60,228,Proficient
STU0431,Understanding Cell Division (Dynamics),72,373,Proficient
STU0448,Understanding Measurement (Key Ideas),28,471,Needs Improvement
STU0243,Introduction to Electromagnetism (Functions),70,150,Proficient
STU0180,Advanced Concepts of Health and Diseases (Key Ideas),100,282,Mastered
STU0249,Understanding Electromagnetism (Functions),31,385,Needs Improvement
STU0056,Advanced Concepts of Fractions (Basics),77,307,Proficient
STU0335,Advanced Concepts of Ancient Civilizations (Structure),45,419,Needs Improvement
STU0453,Introduction to Carbon Compounds (Systems),91,147,Mastered
STU0260,Introduction to Freedom Struggle (Key Ideas),100,128,Mastered
STU0372,Understanding Combustion (Key Ideas),84,324,Proficient
STU0033,Understanding Oceans (Exploration),45,343,Needs Improvement
STU0040,Introduction to Oceans (Exploration),72,145,Proficient
STU0411,Understanding Genetics (Impact),100,176,Mastered
STU0074,Introduction to Civics (Functions),81,179,Proficient
STU0375,Introduction to Ancient Civilizations (Structure),35,215,Needs Improvement
STU0179,Introduction to Solar System (Basics),75,212,Proficient
STU0422,Advanced Concepts of Verbs (Principles),66,391,Proficient
STU0241,Introduction to Gravitation (Applications),49,255,Needs Improvement
STU0063,Understanding American Independence (Dynamics),90,227,Mastered
STU0085,Understanding Ancient Civilizations (Structure),52,462,Needs Improvement
STU0384,Introduction to Sound Waves (Processes),71,124,Proficient
STU0294,Introduction to Rivers (Processes),100,126,Mastered
STU0066,Advanced Concepts of Light Refraction (Impact),91,320,Mastered
STU0494,Advanced Concepts of Laws of Motion (Basics),89,316,Mastered
STU0106,Understanding Population Geography (Functions),67,262,Proficient
STU0045,Advanced Concepts of Circulation (Theories),60,430,Proficient
STU0231,Introduction to Gravitation (Applications),67,201,Proficient
STU0497,Introduction to Population Geography (Functions),45,259,Needs Improvement
STU0311,Introduction to Globe and Maps (Processes),77,246,Proficient
STU0440,Advanced Concepts of Electricity (Applications),80,422,Proficient
STU0184,Understanding Ancient Civilizations (Basics),52,332,Needs Improvement
STU0337,Understanding Carbon Compounds (Systems),93,178,Mastered
STU0280,Introduction to Ancient Civilizations (Basics),37,285,Needs Improvement
STU0480,Advanced Concepts of Microorganisms (Structure),75,407,Proficient
STU0353,Introduction to Freedom Struggle (Principles),78,186,Proficient
STU0318,Understanding Acids and Bases (Basics),60,293,Proficient
STU0109,Introduction to Conjunctions (Impact),79,145,Proficient
STU0325,Advanced Concepts of Nouns (Basics),85,322,Mastered
STU0078,Understanding Ecosystems (Systems),39,361,Needs Improvement
STU0049,Understanding Magnetism (Exploration),75,300,Proficient
STU0072,Introduction to Sound Waves (Processes),77,137,Proficient
STU0004,Understanding Fractions (Basics),89,263,Mastered
STU0336,Advanced Concepts of Renaissance (Impact),68,397,Proficient
STU0104,Advanced Concepts of Mineral Resources (Dynamics),100,313,Mastered
STU0066,Introduction to Coal and Petroleum (Functions),66,177,Proficient
STU0495,Advanced Concepts of Democracy (Applications),91,257,Mastered
STU0343,Advanced Concepts of Mountains (Systems),78,468,Proficient
STU0102,Introduction to Heat (Exploration),100,176,Mastered
STU0062,Advanced Concepts of Microorganisms (Structure),89,346,Mastered
STU0487,Introduction to Cell Division (Dynamics),85,109,Mastered
STU0042,Introduction to Oceans (Exploration),38,228,Needs Improvement
STU0433,Introduction to Civics (Functions),33,202,Needs Improvement
STU0085,Understanding Chemical Bonding (Impact),95,215,Mastered
STU0001,Advanced Concepts of Ecosystems (Systems),94,278,Mastered
STU0323,Introduction to Data Handling (Functions),85,112,Mastered
STU0453,Introduction to Plant Reproduction (Processes),45,185,Needs Improvement
STU0229,Understanding Electromagnetism (Functions),41,274,Needs Improvement
STU0157,Introduction to Active and Passive Voice (Systems),100,125,Mastered
STU0322,Advanced Concepts of Agriculture (Impact),85,241,Mastered
STU0397,Understanding Light Reflection (Systems),92,225,Mastered
STU0428,Advanced Concepts of Sound Waves (Processes),72,372,Proficient
STU0243,Introduction to Local Government (Exploration),63,194,Proficient
STU0350,Understanding Magnets (Theories),52,400,Needs Improvement
STU0078,Understanding Metals and Non-Metals (Processes),50,379,Needs Improvement
STU0262,Understanding Electricity (Applications),87,219,Mastered
STU0345,Advanced Concepts of Nouns (Basics),66,497,Proficient
STU0269,Understanding Ratio (Impact),34,307,Needs Improvement
STU0301,Understanding Solar System (Key Ideas),79,352,Proficient
STU0108,Introduction to Percentages (Applications),79,209,Proficient
STU0218,Understanding Ratio (Impact),76,335,Proficient
STU0331,Advanced Concepts of Oceans (Exploration),67,330,Proficient
STU0489,Understanding Subject-Verb Agreement (Functions),92,175,Mastered
STU0367,Introduction to Percentages (Applications),100,138,Mastered
STU0196,Understanding Synthetic Fibres (Structure),79,330,Proficient
STU0252,Introduction to Measurement (Key Ideas),65,240,Proficient
STU0082,Understanding Nervous System (Exploration),83,197,Proficient
STU0056,Advanced Concepts of Population Geography (Functions),75,415,Proficient
STU0338,Understanding Ancient Egypt (Structure),77,267,Proficient
STU0256,Advanced Concepts of Punctuation (Key Ideas),67,289,Proficient
STU0458,Understanding Measurement (Key Ideas),79,289,Proficient
STU0216,Understanding States of Matter (Functions),80,248,Proficient
STU0277,Introduction to States of Matter (Functions),98,163,Mastered
STU0144,Advanced Concepts of Solar System (Basics),69,294,Proficient
STU0171,Understanding Plate Tectonics (Applications),97,195,Mastered
STU0479,Advanced Concepts of Force (Processes),85,281,Mastered
STU0129,Understanding Magnetism (Exploration),62,196,Proficient
STU0147,Introduction to Oceans (Exploration),69,202,Proficient
STU0294,Advanced Concepts of States of Matter (Functions),85,306,Mastered
STU0337,Advanced Concepts of Climate Zones (Theories),55,529,Needs Improvement
STU0246,Advanced Concepts of Water Cycle (Structure),48,578,Needs Improvement
STU0471,Introduction to Nouns (Basics),82,147,Proficient
STU0087,Advanced Concepts of Freedom Struggle (Key Ideas),100,259,Mastered
STU0482,Understanding Data Handling (Functions),55,370,Needs Improvement
STU0489,Understanding Chemical Reactions (Principles),65,276,Proficient
STU0156,Introduction to Freedom Struggle (Principles),76,168,Proficient
STU0354,Understanding Renaissance (Impact),54,367,Needs Improvement
STU0310,Understanding States of Matter (Functions),100,237,Mastered
STU0257,Understanding Earth's Layers (Principles),92,183,Mastered
STU0493,Introduction to Thermodynamics (Dynamics),92,122,Mastered
STU0280,Advanced Concepts of French Revolution (Applications),63,393,Proficient
STU0483,Advanced Concepts of Percentages (Applications),90,298,Mastered
STU0331,Advanced Concepts of Respiration (Applications),96,258,Mastered
STU0189,Understanding Oceans (Exploration),69,277,Proficient
STU0199,Advanced Concepts of Motion (Systems),95,308,Mastered
STU0483,Advanced Concepts of Punctuation (Key Ideas),100,353,Mastered
STU0418,Introduction to Freedom Struggle (Key Ideas),100,133,Mastered
STU0427,Advanced Concepts of Probability (Dynamics),88,335,Mastered
STU0137,Advanced Concepts of Resources (Impact),73,436,Proficient
STU0433,Understanding Measurement (Key Ideas),79,297,Proficient
STU0324,Understanding French Revolution (Applications),93,267,Mastered
STU0252,Introduction to Local Government (Exploration),84,251,Proficient
STU0479,Advanced Concepts of Classification of Organisms (Functions),59,408,Needs Improvement
STU0276,Understanding Ancient Civilizations (Basics),65,195,Proficient
STU0153,Introduction to Simple Machines (Impact),80,141,Proficient
STU0358,Introduction to Metals and Non-Metals (Processes),76,168,Proficient
STU0232,Advanced Concepts of Profit and Loss (Systems),87,234,Mastered
STU0456,Understanding Prepositions (Dynamics),30,414,Needs Improvement
STU0054,Understanding Solar System (Key Ideas),100,216,Mastered
STU0442,Advanced Concepts of Adjectives (Applications),88,284,Mastered
STU0339,Understanding Synthetic Fibres (Structure),44,399,Needs Improvement
STU0301,Advanced Concepts of Health and Diseases (Key Ideas),52,519,Needs Improvement
STU0213,Introduction to World War II (Exploration),90,154,Mastered
STU0018,Introduction to Rivers (Processes),100,142,Mastered
STU0314,Introduction to Measurement (Key Ideas),33,219,Needs Improvement
STU0125,Advanced Concepts of Freedom Struggle (Principles),54,420,Needs Improvement
STU0095,Understanding Percentages (Applications),73,280,Proficient
STU0234,Understanding Gravitation (Applications),100,237,Mastered
STU0252,Understanding Circulation (Theories),96,191,Mastered
STU0449,Introduction to Electromagnetism (Functions),39,322,Needs Improvement
STU0066,Introduction to Plant Reproduction (Processes),81,195,Proficient
STU0008,Understanding Globe and Maps (Processes),82,387,Proficient
STU0345,Introduction to Solar System (Key Ideas),86,188,Mastered
STU0049,Advanced Concepts of Indus Valley Civilization (Basics),99,269,Mastered
STU0306,Understanding Geometry (Exploration),43,332,Needs Improvement
STU0437,Introduction to Pressure (Structure),85,119,Mastered
STU0269,Introduction to Profit and Loss (Systems),98,135,Mastered
STU0290,Understanding Electricity (Applications),83,316,Proficient
STU0237,Understanding Carbon Compounds (Systems),38,411,Needs Improvement
STU0356,Advanced Concepts of Earth's Layers (Principles),85,292,Mastered
STU0416,Understanding Chemical Bonding (Impact),71,223,Proficient
STU0440,Understanding Adjectives (Applications),87,210,Mastered
STU0366,Introduction to Mountains (Systems),72,144,Proficient
STU0043,Understanding Magnets (Theories),100,289,Mastered
STU0051,Advanced Concepts of Motion (Systems),95,278,Mastered
STU0359,Introduction to Industrial Revolution (Processes),50,273,Needs Improvement
STU0043,Advanced Concepts of Weather (Systems),80,360,Proficient
STU0460,Advanced Concepts of Pronouns (Theories),100,238,Mastered
STU0292,Understanding Solar System (Key Ideas),66,265,Proficient
STU0486,Understanding Mountains (Systems),49,364,Needs Improvement
STU0042,Introduction to Ratio (Impact),97,128,Mastered
STU0184,Introduction to Mountains (Systems),70,186,Proficient
STU0104,Introduction to Direct and Indirect Speech (Processes),75,194,Proficient
STU0497,Introduction to Friction (Key Ideas),85,175,Mastered
STU0456,Advanced Concepts of Punctuation (Key Ideas),91,247,Mastered
STU0323,Understanding American Independence (Dynamics),48,336,Needs Improvement
STU0043,Advanced Concepts of Pronouns (Theories),73,467,Proficient
STU0176,Understanding Cell Division (Dynamics),66,352,Proficient
STU0477,Understanding Medieval Period (Systems),46,410,Needs Improvement
STU0018,Understanding Integers (Processes),50,326,Needs Improvement
STU0433,Advanced Concepts of Freedom Struggle (Key Ideas),66,446,Proficient
STU0440,Understanding Carbon Compounds (Systems),69,212,Proficient
STU0039,Introduction to Resources (Impact),71,190,Proficient
STU0275,Introduction to Microorganisms (Structure),92,153,Mastered
STU0225,Understanding Cold War (Key Ideas),74,297,Proficient
STU0267,Advanced Concepts of Friction (Key Ideas),78,411,Proficient
STU0436,Introduction to Laws of Motion (Basics),74,166,Proficient
STU0288,Introduction to Periodic Table (Applications),65,192,Proficient
STU0127,Advanced Concepts of Nervous System (Exploration),99,245,Mastered
STU0044,Advanced Concepts of Tenses (Exploration),73,375,Proficient
STU0467,Advanced Concepts of Metals and Non-Metals (Processes),79,499,Proficient
STU0039,Introduction to Respiration (Applications),65,127,Proficient
STU0447,Understanding Roman Empire (Principles),87,204,Mastered
STU0219,Introduction to Friction (Key Ideas),59,266,Needs Improvement
STU0279,Advanced Concepts of Number Systems (Structure),65,428,Proficient
STU0422,Advanced Concepts of Freedom Struggle (Principles),58,555,Needs Improvement
STU0246,Introduction to Rivers (Processes),90,125,Mastered
STU0034,Advanced Concepts of Light (Basics),63,458,Proficient
STU0377,Advanced Concepts of Ecosystems (Systems),43,572,Needs Improvement
STU0208,Advanced Concepts of Force (Processes),60,321,Proficient
STU0384,Advanced Concepts of Freedom Struggle (Principles),69,325,Proficient
STU0126,Advanced Concepts of Atoms and Molecules (Theories),63,382,Proficient
STU0266,Understanding Synthetic Fibres (Structure),100,152,Mastered
STU0034,Understanding Heat (Exploration),62,314,Proficient
STU0391,Understanding Sound Waves (Processes),66,264,Proficient
STU0440,Understanding Plant Reproduction (Processes),89,192,Mastered
STU0354,Introduction to Combustion (Key Ideas),100,138,Mastered
STU0478,Introduction to Sound (Principles),64,169,Proficient
STU0269,Understanding Plant Reproduction (Processes),64,257,Proficient
STU0409,Understanding Cell Division (Dynamics),87,213,Mastered
STU0093,Advanced Concepts of Constitution (Theories),60,294,Proficient
STU0184,Understanding Climate Zones (Theories),85,182,Mastered
STU0111,Introduction to Earth's Layers (Principles),61,149,Proficient
STU0497,Introduction to Pressure (Structure),67,225,Proficient
STU0338,Advanced Concepts of Human Rights (Dynamics),100,376,Mastered
STU0276,Advanced Concepts of Resources (Impact),56,402,Needs Improvement
STU0408,Introduction to Microorganisms (Structure),60,219,Proficient
STU0239,Understanding Civics (Functions),84,230,Proficient
STU0495,Understanding Ancient Civilizations (Basics),56,310,Needs Improvement
STU0327,Advanced Concepts of Profit and Loss (Systems),97,320,Mastered
STU0317,Advanced Concepts of Metals and Non-Metals (Processes),68,425,Proficient
STU0300,Understanding Ancient Egypt (Structure),92,148,Mastered
STU0094,Introduction to Friction (Key Ideas),95,143,Mastered
STU0074,Advanced Concepts of Indus Valley Civilization (Basics),90,221,Mastered
STU0498,Understanding Probability (Dynamics),81,276,Proficient
STU0331,Understanding Decimals (Principles),93,258,Mastered
STU0250,Advanced Concepts of Population Geography (Functions),73,357,Proficient
STU0412,Advanced Concepts of Water Cycle (Structure),50,461,Needs Improvement
STU0186,Introduction to Light Refraction (Impact),70,153,Proficient
STU0044,Introduction to Coal and Petroleum (Functions),89,181,Mastered
STU0485,Advanced Concepts of States of Matter (Dynamics),100,359,Mastered
STU0082,Introduction to Natural Vegetation (Structure),99,153,Mastered
STU0074,Understanding Force (Processes),100,197,Mastered
STU0036,Advanced Concepts of Electricity (Applications),100,345,Mastered
STU0239,Introduction to Ecosystems (Systems),69,193,Proficient
STU0144,Advanced Concepts of Coal and Petroleum (Functions),95,261,Mastered
STU0156,Introduction to Periodic Table (Applications),66,175,Proficient
STU0143,Introduction to Ecosystems (Systems),94,129,Mastered
STU0200,Advanced Concepts of Adaptations (Dynamics),87,256,Mastered
STU0179,Advanced Concepts of Prepositions (Dynamics),75,440,Proficient
STU0369,Advanced Concepts of Percentages (Applications),84,352,Proficient
STU0379,Introduction to World War I (Theories),87,145,Mastered
STU0312,Introduction to World War II (Exploration),85,115,Mastered
STU0416,Introduction to Light (Basics),100,125,Mastered
STU0395,Advanced Concepts of Direct and Indirect Speech (Processes),59,390,Needs Improvement
STU0169,Advanced Concepts of Acids and Bases (Basics),69,488,Proficient
STU0037,Understanding Industrial Revolution (Processes),84,308,Proficient
STU0027,Understanding Force (Processes),100,186,Mastered
STU0423,Advanced Concepts of Solar System (Key Ideas),34,537,Needs Improvement
STU0462,Introduction to Number Systems (Structure),100,158,Mastered
STU0269,Introduction to Tenses (Exploration),94,114,Mastered
STU0038,Introduction to Cold War (Key Ideas),63,136,Proficient
STU0129,Advanced Concepts of Plate Tectonics (Applications),66,325,Proficient
STU0292,Understanding Pronouns (Theories),85,245,Mastered
STU0282,Introduction to Freedom Struggle (Key Ideas),96,145,Mastered
STU0408,Introduction to Verbs (Principles),80,225,Proficient
STU0434,Introduction to Globe and Maps (Processes),87,157,Mastered
STU0329,Understanding American Independence (Dynamics),48,379,Needs Improvement
STU0208,Advanced Concepts of Adaptations (Dynamics),53,383,Needs Improvement
STU0031,Introduction to Magnets (Theories),66,162,Proficient
STU0040,Introduction to Prepositions (Dynamics),58,180,Needs Improvement
STU0152,Advanced Concepts of Plate Tectonics (Applications),73,374,Proficient
STU0178,Understanding Local Government (Exploration),89,234,Mastered
STU0333,Understanding Carbon Compounds (Systems),44,468,Needs Improvement
STU0361,Introduction to Heat (Exploration),39,256,Needs Improvement
STU0401,Understanding Tenses (Exploration),94,230,Mastered
STU0460,Understanding Friction (Key Ideas),100,254,Mastered
STU0119,Introduction to Measurement (Key Ideas),79,149,Proficient
STU0149,Advanced Concepts of Freedom Struggle (Principles),86,291,Mastered
STU0001,Advanced Concepts of Maps and Scales (Key Ideas),89,364,Mastered
STU0499,Introduction to French Revolution (Applications),84,157,Proficient
STU0453,Understanding Weather (Systems),67,273,Proficient
STU0309,Understanding Light (Basics),51,242,Needs Improvement
STU0228,Introduction to States of Matter (Dynamics),73,189,Proficient
STU0310,Introduction to Plate Tectonics (Applications),77,201,Proficient
STU0151,Understanding Industrial Revolution (Processes),51,424,Needs Improvement
STU0054,Advanced Concepts of Climate Zones (Theories),96,294,Mastered
STU0009,Understanding Number Systems (Structure),91,209,Mastered
STU0424,Introduction to Earth's Layers (Principles),55,276,Needs Improvement
STU0119,Advanced Concepts of Freedom Struggle (Principles),79,344,Proficient
STU0168,Advanced Concepts of Heat (Exploration),94,269,Mastered
STU0227,Advanced Concepts of Local Government (Exploration),59,458,Needs Improvement
STU0261,Advanced Concepts of Heat (Exploration),100,308,Mastered
STU0271,Introduction to Health and Diseases (Key Ideas),65,204,Proficient
STU0242,Introduction to Pressure (Structure),100,127,Mastered
STU0439,Introduction to Maps and Scales (Key Ideas),51,226,Needs Improvement
STU0244,Advanced Concepts of Thermodynamics (Dynamics),50,494,Needs Improvement
STU0289,Advanced Concepts of Carbon Compounds (Systems),82,308,Proficient
STU0186,Understanding States of Matter (Dynamics),100,208,Mastered
STU0128,Introduction to Measurement (Key Ideas),58,226,Needs Improvement
STU0196,Introduction to Weather (Systems),73,206,Proficient
STU0341,Advanced Concepts of Nervous System (Exploration),81,449,Proficient
STU0181,Advanced Concepts of Oceans (Exploration),86,274,Mastered
STU0459,Advanced Concepts of Coal and Petroleum (Functions),61,356,Proficient
STU0155,Advanced Concepts of Integers (Processes),100,248,Mastered
STU0396,Advanced Concepts of Mineral Resources (Dynamics),85,353,Mastered
STU0258,Understanding Natural Vegetation (Structure),86,265,Mastered
STU0106,Introduction to Subject-Verb Agreement (Functions),90,137,Mastered
STU0271,Understanding Number Systems (Structure),69,385,Proficient
STU0397,Advanced Concepts of Light (Basics),82,468,Proficient
STU0148,Understanding Profit and Loss (Systems),44,474,Needs Improvement
STU0352,Introduction to Data Handling (Functions),66,168,Proficient
STU0495,Advanced Concepts of States of Matter (Functions),100,333,Mastered
STU0473,Introduction to Cold War (Key Ideas),80,204,Proficient
STU0287,Advanced Concepts of Photosynthesis (Basics),83,409,Proficient
STU0180,Introduction to Roman Empire (Principles),61,206,Proficient
STU0494,Understanding Combustion (Key Ideas),66,337,Proficient
STU0027,Introduction to Fractions (Basics),97,139,Mastered
STU0139,Introduction to Rivers (Processes),100,127,Mastered
STU0181,Advanced Concepts of Tenses (Exploration),82,377,Proficient
STU0059,Introduction to Mountains (Systems),80,185,Proficient
STU0307,Introduction to Electricity (Applications),84,137,Proficient
STU0182,Advanced Concepts of Force (Processes),84,387,Proficient
STU0114,Advanced Concepts of Maps and Scales (Key Ideas),67,457,Proficient
STU0443,Understanding Ecosystems (Systems),71,285,Proficient
STU0494,Understanding Industrial Revolution (Processes),71,258,Proficient
STU0434,Advanced Concepts of Plate Tectonics (Applications),83,345,Proficient
