Topic_ID,Subject,Grade,Topic,Description,Keywords,Difficulty
77,Science,7,Understanding Heat (Exploration),"Learn about the foundational elements, mechanisms, and real-world importance of Heat tailored for Grade 7 students.","science, grade 7, heat, exploration",Medium
78,Science,7,Understanding Force (Processes),"Learn about the foundational elements, mechanisms, and real-world importance of Force tailored for Grade 7 students.","science, grade 7, force, processes",Medium
79,Science,7,Understanding Motion (Systems),"Learn about the foundational elements, mechanisms, and real-world importance of Motion tailored for Grade 7 students.","science, grade 7, motion, systems",Medium
80,Science,7,Understanding Simple Machines (Impact),"Learn about the foundational elements, mechanisms, and real-world importance of Simple Machines tailored for Grade 7 students.","science, grade 7, simple machines, impact",Medium
81,Science,7,Understanding Adaptations (Dynamics),"Learn about the foundational elements, mechanisms, and real-world importance of Adaptations tailored for Grade 7 students.","science, grade 7, adaptations, dynamics",Medium
82,Science,7,Understanding States of Matter (Functions),"Learn about the foundational elements, mechanisms, and real-world importance of States of Matter tailored for Grade 7 students.","science, grade 7, states of matter, functions",Medium
83,Science,7,Understanding Water Cycle (Structure),"Learn about the foundational elements, mechanisms, and real-world importance of Water Cycle tailored for Grade 7 students.","science, grade 7, water cycle, structure",Medium
84,Science,7,Understanding Solar System (Key Ideas),"Learn about the foundational elements, mechanisms, and real-world importance of Solar System tailored for Grade 7 students.","science, grade 7, solar system, key ideas",Medium
85,Science,8,Advanced Concepts of Light (Basics),"Learn about the foundational elements, mechanisms, and real-world importance of Light tailored for Grade 8 students.","science, grade 8, light, basics",Hard
86,Science,8,Advanced Concepts of Sound (Principles),"Learn about the foundational elements, mechanisms, and real-world importance of Sound tailored for Grade 8 students.","science, grade 8, sound, principles",Hard
87,Science,8,Advanced Concepts of Electricity (Applications),"Learn about the foundational elements, mechanisms, and real-world importance of Electricity tailored for Grade 8 students.","science, grade 8, electricity, applications",Hard
88,Science,8,Advanced Concepts of Magnets (Theories),"Learn about the foundational elements, mechanisms, and real-world importance of Magnets tailored for Grade 8 students.","science, grade 8, magnets, theories",Hard
89,Science,8,Advanced Concepts of Heat (Exploration),"Learn about the foundational elements, mechanisms, and real-world importance of Heat tailored for Grade 8 students.","science, grade 8, heat, exploration",Hard
90,Science,8,Advanced Concepts of Force (Processes),"Learn about the foundational elements, mechanisms, and real-world importance of Force tailored for Grade 8 students.","science, grade 8, force, processes",Hard
91,Science,8,Advanced Concepts of Motion (Systems),"Learn about the foundational elements, mechanisms, and real-world importance of Motion tailored for Grade 8 students.","science, grade 8, motion, systems",Hard
92,Science,8,Advanced Concepts of Simple Machines (Impact),"Learn about the foundational elements, mechanisms, and real-world importance of Simple Machines tailored for Grade 8 students.","science, grade 8, simple machines, impact",Hard
93,Science,8,Advanced Concepts of Adaptations (Dynamics),"Learn about the foundational elements, mechanisms, and real-world importance of Adaptations tailored for Grade 8 students.","science, grade 8, adaptations, dynamics",Hard
94,Science,8,Advanced Concepts of States of Matter (Functions),"Learn about the foundational elements, mechanisms, and real-world importance of States of Matter tailored for Grade 8 students.","science, grade 8, states of matter, functions",Hard
95,Science,8,Advanced Concepts of Water Cycle (Structure),"Learn about the foundational elements, mechanisms, and real-world importance of Water Cycle tailored for Grade 8 students.","science, grade 8, water cycle, structure",Hard
96,Science,8,Advanced Concepts of Solar System (Key Ideas),"Learn about the foundational elements, mechanisms, and real-world importance of Solar System tailored for Grade 8 students.","science, grade 8, solar system, key ideas",Hard
97,Science,9,Advanced Concepts of Light (Basics),"Learn about the foundational elements, mechanisms, and real-world importance of Light tailored for Grade 9 students.","science, grade 9, light, basics",Hard
98,Science,9,Advanced Concepts of Sound (Principles),"Learn about the foundational elements, mechanisms, and real-world importance of Sound tailored for Grade 9 students.","science, grade 9, sound, principles",Hard
99,Science,9,Advanced Concepts of Electricity (Applications),"Learn about the foundational elements, mechanisms, and real-world importance of Electricity tailored for Grade 9 students.","science, grade 9, electricity, applications",Hard
100,Science,9,Advanced Concepts of Magnets (Theories),"Learn about the foundational elements, mechanisms, and real-world importance of Magnets tailored for Grade 9 students.","science, grade 9, magnets, theories",Hard
101,Science,9,Advanced Concepts of Heat (Exploration),"Learn about the foundational elements, mechanisms, and real-world importance of Heat tailored for Grade 9 students.","science, grade 9, heat, exploration",Hard
102,Science,9,Advanced Concepts of Force (Processes),"Learn about the foundational elements, mechanisms, and real-world importance of Force tailored for Grade 9 students.","science, grade 9, force, processes",Hard
103,Science,9,Advanced Concepts of Motion (Systems),"Learn about the foundational elements, mechanisms, and real-world importance of Motion tailored for Grade 9 students.","science, grade 9, motion, systems",Hard
104,Science,9,Advanced Concepts of Simple Machines (Impact),"Learn about the foundational elements, mechanisms, and real-world importance of Simple Machines tailored for Grade 9 students.","science, grade 9, simple machines, impact",Hard
105,Science,9,Advanced Concepts of Adaptations (Dynamics),"Learn about the foundational elements, mechanisms, and real-world importance of Adaptations tailored for Grade 9 students.","science, grade 9, adaptations, dynamics",Hard
106,Science,9,Advanced Concepts of States of Matter (Functions),"Learn about the foundational elements, mechanisms, and real-world importance of States of Matter tailored for Grade 9 students.","science, grade 9, states of matter, functions",Hard
107,Science,9,Advanced Concepts of Water Cycle (Structure),"Learn about the foundational elements, mechanisms, and real-world importance of Water Cycle tailored for Grade 9 students.","science, grade 9, water cycle, structure",Hard
108,Science,9,Advanced Concepts of Solar System (Key Ideas),"Learn about the foundational elements, mechanisms, and real-world importance of Solar System tailored for Grade 9 students.","science, grade 9, solar system, key ideas",Hard
109,Science,10,Advanced Concepts of Light (Basics),"Learn about the foundational elements, mechanisms, and real-world importance of Light tailored for Grade 10 students.","science, grade 10, light, basics",Hard
110,Science,10,Advanced Concepts of Sound (Principles),"Learn about the foundational elements, mechanisms, and real-world importance of Sound tailored for Grade 10 students.","science, grade 10, sound, principles",Hard
111,Science,10,Advanced Concepts of Electricity (Applications),"Learn about the foundational elements, mechanisms, and real-world importance of Electricity tailored for Grade 10 students.","science, grade 10, electricity, applications",Hard
112,Science,10,Advanced Concepts of Magnets (Theories),"Learn about the foundational elements, mechanisms, and real-world importance of Magnets tailored for Grade 10 students.","science, grade 10, magnets, theories",Hard
113,Science,10,Advanced Concepts of Heat (Exploration),"Learn about the foundational elements, mechanisms, and real-world importance of Heat tailored for Grade 10 students.","science, grade 10, heat, exploration",Hard
114,Science,10,Advanced Concepts of Force (Processes),"Learn about the foundational elements, mechanisms, and real-world importance of Force tailored for Grade 10 students.","science, grade 10, force, processes",Hard
115,Science,10,Advanced Concepts of Motion (Systems),"Learn about the foundational elements, mechanisms, and real-world importance of Motion tailored for Grade 10 students.","science, grade 10, motion, systems",Hard
116,Science,10,Advanced Concepts of Simple Machines (Impact),"Learn about the foundational elements, mechanisms, and real-world importance of Simple Machines tailored for Grade 10 students.","science, grade 10, simple machines, impact",Hard
117,Science,10,Advanced Concepts of Adaptations (Dynamics),"Learn about the foundational elements, mechanisms, and real-world importance of Adaptations tailored for Grade 10 students.","science, grade 10, adaptations, dynamics",Hard
118,Science,10,Advanced Concepts of States of Matter (Functions),"Learn about the foundational elements, mechanisms, and real-world importance of States of Matter tailored for Grade 10 students.","science, grade 10, states of matter, functions",Hard
119,Science,10,Advanced Concepts of Water Cycle (Structure),"Learn about the foundational elements, mechanisms, and real-world importance of Water Cycle tailored for Grade 10 students.","science, grade 10, water cycle, structure",Hard
120,Science,10,Advanced Concepts of Solar System (Key Ideas),"Learn about the foundational elements, mechanisms, and real-world importance of Solar System tailored for Grade 10 students.","science, grade 10, solar system, key ideas",Hard
121,Mathematics,1,Introduction to Fractions (Basics),"Learn about the foundational elements, mechanisms, and real-world importance of Fractions tailored for Grade 1 students.","mathematics, grade 1, fractions, basics",Easy
122,Mathematics,1,Introduction to Decimals (Principles),"Learn about the foundational elements, mechanisms, and real-world importance of Decimals tailored for Grade 1 students.","mathematics, grade 1, decimals, principles",Easy
123,Mathematics,1,Introduction to Percentages (Applications),"Learn about the foundational elements, mechanisms, and real-world importance of Percentages tailored for Grade 1 students.","mathematics, grade 1, percentages, applications",Easy
124,Mathematics,1,Introduction to Algebra (Theories),"Learn about the foundational elements, mechanisms, and real-world importance of Algebra tailored for Grade 1 students.","mathematics, grade 1, algebra, theories",Easy
125,Mathematics,1,Introduction to Geometry (Exploration),"Learn about the foundational elements, mechanisms, and real-world importance of Geometry tailored for Grade 1 students.","mathematics, grade 1, geometry, exploration",Easy
126,Mathematics,1,Introduction to Integers (Processes),"Learn about the foundational elements, mechanisms, and real-world importance of Integers tailored for Grade 1 students.","mathematics, grade 1, integers, processes",Easy
127,Mathematics,1,Introduction to Profit and Loss (Systems),"Learn about the foundational elements, mechanisms, and real-world importance of Profit and Loss tailored for Grade 1 students.","mathematics, grade 1, profit and loss, systems",Easy
128,Mathematics,1,Introduction to Ratio (Impact),"Learn about the foundational elements, mechanisms, and real-world importance of Ratio tailored for Grade 1 students.","mathematics, grade 1, ratio, impact",Easy
129,Mathematics,1,Introduction to Probability (Dynamics),"Learn about the foundational elements, mechanisms, and real-world importance of Probability tailored for Grade 1 students.","mathematics, grade 1, probability, dynamics",Easy
130,Mathematics,1,Introduction to Data Handling (Functions),"Learn about the foundational elements, mechanisms, and real-world importance of Data Handling tailored for Grade 1 students.","mathematics, grade 1, data handling, functions",Easy
131,Mathematics,1,Introduction to Number Systems (Structure),"Learn about the foundational elements, mechanisms, and real-world importance of Number Systems tailored for Grade 1 students.","mathematics, grade 1, number systems, structure",Easy
132,Mathematics,1,Introduction to Measurement (Key Ideas),"Learn about the foundational elements, mechanisms, and real-world importance of Measurement tailored for Grade 1 students.","mathematics, grade 1, measurement, key ideas",Easy
133,Mathematics,2,Introduction to Fractions (Basics),"Learn about the foundational elements, mechanisms, and real-world importance of Fractions tailored for Grade 2 students.","mathematics, grade 2, fractions, basics",Easy
134,Mathematics,2,Introduction to Decimals (Principles),"Learn about the foundational elements, mechanisms, and real-world importance of Decimals tailored for Grade 2 students.","mathematics, grade 2, decimals, principles",Easy
135,Mathematics,2,Introduction to Percentages (Applications),"Learn about the foundational elements, mechanisms, and real-world importance of Percentages tailored for Grade 2 students.","mathematics, grade 2, percentages, applications",Easy
136,Mathematics,2,Introduction to Algebra (Theories),"Learn about the foundational elements, mechanisms, and real-world importance of Algebra tailored for Grade 2 students.","mathematics, grade 2, algebra, theories",Easy
137,Mathematics,2,Introduction to Geometry (Exploration),"Learn about the foundational elements, mechanisms, and real-world importance of Geometry tailored for Grade 2 students.","mathematics, grade 2, geometry, exploration",Easy
138,Mathematics,2,Introduction to Integers (Processes),"Learn about the foundational elements, mechanisms, and real-world importance of Integers tailored for Grade 2 students.","mathematics, grade 2, integers, processes",Easy
139,Mathematics,2,Introduction to Profit and Loss (Systems),"Learn about the foundational elements, mechanisms, and real-world importance of Profit and Loss tailored for Grade 2 students.","mathematics, grade 2, profit and loss, systems",Easy
140,Mathematics,2,Introduction to Ratio (Impact),"Learn about the foundational elements, mechanisms, and real-world importance of Ratio tailored for Grade 2 students.","mathematics, grade 2, ratio, impact",Easy
141,Mathematics,2,Introduction to Probability (Dynamics),"Learn about the foundational elements, mechanisms, and real-world importance of Probability tailored for Grade 2 students.","mathematics, grade 2, probability, dynamics",Easy
142,Mathematics,2,Introduction to Data Handling (Functions),"Learn about the foundational elements, mechanisms, and real-world importance of Data Handling tailored for Grade 2 students.","mathematics, grade 2, data handling, functions",Easy
143,Mathematics,2,Introduction to Number Systems (Structure),"Learn about the foundational elements, mechanisms, and real-world importance of Number Systems tailored for Grade 2 students.","mathematics, grade 2, number systems, structure",Easy
144,Mathematics,2,Introduction to Measurement (Key Ideas),"Learn about the foundational elements, mechanisms, and real-world importance of Measurement tailored for Grade 2 students.","mathematics, grade 2, measurement, key ideas",Easy
145,Mathematics,3,Introduction to Fractions (Basics),"Learn about the foundational elements, mechanisms, and real-world importance of Fractions tailored for Grade 3 students.","mathematics, grade 3, fractions, basics",Easy
146,Mathematics,3,Introduction to Decimals (Principles),"Learn about the foundational elements, mechanisms, and real-world importance of Decimals tailored for Grade 3 students.","mathematics, grade 3, decimals, principles",Easy
147,Mathematics,3,Introduction to Percentages (Applications),"Learn about the foundational elements, mechanisms, and real-world importance of Percentages tailored for Grade 3 students.","mathematics, grade 3, percentages, applications",Easy
148,Mathematics,3,Introduction to Algebra (Theories),"Learn about the foundational elements, mechanisms, and real-world importance of Algebra tailored for Grade 3 students.","mathematics, grade 3, algebra, theories",Easy
149,Mathematics,3,Introduction to Geometry (Exploration),"Learn about the foundational elements, mechanisms, and real-world importance of Geometry tailored for Grade 3 students.","mathematics, grade 3, geometry, exploration",Easy
150,Mathematics,3,Introduction to Integers (Processes),"Learn about the foundational elements, mechanisms, and real-world importance of Integers tailored for Grade 3 students.","mathematics, grade 3, integers, processes",Easy
151,Mathematics,3,Introduction to Profit and Loss (Systems),"Learn about the foundational elements, mechanisms, and real-world importance of Profit and Loss tailored for Grade 3 students.","mathematics, grade 3, profit and loss, systems",Easy
152,Mathematics,3,Introduction to Ratio (Impact),"Learn about the foundational elements, mechanisms, and real-world importance of Ratio tailored for Grade 3 students.","mathematics, grade 3, ratio, impact",Easy
153,Mathematics,3,Introduction to Probability (Dynamics),"Learn about the foundational elements, mechanisms, and real-world importance of Probability tailored for Grade 3 students.","mathematics, grade 3, probability, dynamics",Easy
154,Mathematics,3,Introduction to Data Handling (Functions),"Learn about the foundational elements, mechanisms, and real-world importance of Data Handling tailored for Grade 3 students.","mathematics, grade 3, data handling, functions",Easy
155,Mathematics,3,Introduction to Number Systems (Structure),"Learn about the foundational elements, mechanisms, and real-world importance of Number Systems tailored for Grade 3 students.","mathematics, grade 3, number systems, structure",Easy
156,Mathematics,3,Introduction to Measurement (Key Ideas),"Learn about the foundational elements, mechanisms, and real-world importance of Measurement tailored for Grade 3 students.","mathematics, grade 3, measurement, key ideas",Easy
157,Mathematics,4,Understanding Fractions (Basics),"Learn about the foundational elements, mechanisms, and real-world importance of Fractions tailored for Grade 4 students.","mathematics, grade 4, fractions, basics",Medium
158,Mathematics,4,Understanding Decimals (Principles),"Learn about the foundational elements, mechanisms, and real-world importance of Decimals tailored for Grade 4 students.","mathematics, grade 4, decimals, principles",Medium
159,Mathematics,4,Understanding Percentages (Applications),"Learn about the foundational elements, mechanisms, and real-world importance of Percentages tailored for Grade 4 students.","mathematics, grade 4, percentages, applications",Medium
160,Mathematics,4,Understanding Algebra (Theories),"Learn about the foundational elements, mechanisms, and real-world importance of Algebra tailored for Grade 4 students.","mathematics, grade 4, algebra, theories",Medium
161,Mathematics,4,Understanding Geometry (Exploration),"Learn about the foundational elements, mechanisms, and real-world importance of Geometry tailored for Grade 4 students.","mathematics, grade 4, geometry, exploration",Medium
162,Mathematics,4,Understanding Integers (Processes),"Learn about the foundational elements, mechanisms, and real-world importance of Integers tailored for Grade 4 students.","mathematics, grade 4, integers, processes",Medium
163,Mathematics,4,Understanding Profit and Loss (Systems),"Learn about the foundational elements, mechanisms, and real-world importance of Profit and Loss tailored for Grade 4 students.","mathematics, grade 4, profit and loss, systems",Medium
164,Mathematics,4,Understanding Ratio (Impact),"Learn about the foundational elements, mechanisms, and real-world importance of Ratio tailored for Grade 4 students.","mathematics, grade 4, ratio, impact",Medium
165,Mathematics,4,Understanding Probability (Dynamics),"Learn about the foundational elements, mechanisms, and real-world importance of Probability tailored for Grade 4 students.","mathematics, grade 4, probability, dynamics",Medium
166,Mathematics,4,Understanding Data Handling (Functions),"Learn about the foundational elements, mechanisms, and real-world importance of Data Handling tailored for Grade 4 students.","mathematics, grade 4, data handling, functions",Medium
